index,round,team,opponent_team,prev_team_ranking,team_ranking_diff,opponent_ranking,was_home,team_h_score,team_a_score,clean_sheets,goals_scored,season,team_name
55,18,6,8,3.0,1.0,2.0,False,0,2,True,True,2016-17,EVE
232,19,7,6,2.0,-1.0,3.0,True,2,2,False,True,2016-17,HUL
56,19,6,7,3.0,1.0,2.0,False,2,2,False,True,2016-17,EVE
1183,20,13,6,3.0,0.0,3.0,False,3,0,False,False,2016-17,SOU
57,20,6,13,3.0,0.0,3.0,True,3,0,True,True,2016-17,EVE
994,21,10,6,4.0,1.0,3.0,False,4,0,False,False,2016-17,MCI
58,21,6,10,3.0,-1.0,4.0,True,4,0,True,True,2016-17,EVE
121,22,5,6,2.0,-1.0,3.0,True,0,1,False,False,2016-17,CRY
59,22,6,5,3.0,1.0,2.0,False,0,1,True,True,2016-17,EVE
3362,23,14,6,3.0,0.0,3.0,True,1,1,False,True,2016-17,STO
60,23,6,14,3.0,0.0,3.0,False,1,1,False,True,2016-17,EVE
313,24,2,6,2.0,-1.0,3.0,False,6,3,False,True,2016-17,BOU
61,24,6,2,3.0,1.0,2.0,True,6,3,False,True,2016-17,EVE
276,25,12,6,2.0,-1.0,3.0,True,0,0,True,False,2016-17,MID
62,25,6,12,3.0,1.0,2.0,False,0,0,True,False,2016-17,EVE
429,26,15,6,2.0,-1.0,3.0,False,2,0,False,False,2016-17,SUD
63,26,6,15,3.0,1.0,2.0,True,2,0,True,True,2016-17,EVE
1317,27,17,6,5.0,1.0,4.0,True,3,2,False,True,2016-17,TOT
64,27,6,17,4.0,-1.0,5.0,False,3,2,False,True,2016-17,EVE
1256,28,19,6,3.0,0.0,3.0,False,3,0,False,False,2016-17,WBA
65,28,6,19,3.0,0.0,3.0,True,3,0,True,True,2016-17,EVE
242,29,7,6,3.0,-2.0,5.0,False,4,0,False,False,2016-17,HUL
66,29,6,7,5.0,2.0,3.0,True,4,0,True,True,2016-17,EVE
395,30,9,6,4.0,1.0,3.0,True,3,1,False,True,2016-17,LIV
67,30,6,9,3.0,-1.0,4.0,False,3,1,False,True,2016-17,EVE
1597,31,11,6,4.0,1.0,3.0,True,1,1,False,True,2016-17,MUN
68,31,6,11,3.0,-1.0,4.0,False,1,1,False,True,2016-17,EVE
69,32,6,8,3.0,0.0,3.0,True,4,2,False,True,2016-17,EVE
826,32,8,6,3.0,0.0,3.0,False,4,2,False,True,2016-17,LEI
865,33,3,6,2.0,-1.0,3.0,False,3,1,False,True,2016-17,BUR
70,33,6,3,3.0,1.0,2.0,True,3,1,False,True,2016-17,EVE
209,35,4,6,5.0,2.0,3.0,False,0,3,True,True,2016-17,CHE
72,35,6,4,3.0,-2.0,5.0,True,0,3,False,False,2016-17,EVE
1437,36,16,6,2.0,-1.0,3.0,True,1,0,True,True,2016-17,SWA
73,36,6,16,3.0,1.0,2.0,False,1,0,False,False,2016-17,EVE
173,37,18,6,2.0,-1.0,3.0,False,1,0,False,False,2016-17,WAT
74,37,6,18,3.0,1.0,2.0,True,1,0,True,True,2016-17,EVE
114,38,1,6,3.0,0.0,3.0,True,3,1,False,True,2016-17,ARS
75,38,6,1,3.0,0.0,3.0,False,3,1,False,True,2016-17,EVE
76,38,2,8,2.0,0.0,2.0,False,1,1,False,True,2016-17,BOU
833,38,8,2,2.0,0.0,2.0,True,1,1,False,True,2016-17,LEI
366,1,9,1,,,,False,3,4,False,True,2016-17,LIV
77,1,1,9,,,,True,3,4,False,True,2016-17,ARS
78,2,1,8,2.0,0.0,2.0,False,0,0,True,False,2016-17,ARS
797,2,8,1,2.0,0.0,2.0,True,0,0,True,False,2016-17,LEI
140,3,18,1,2.0,0.0,2.0,True,1,3,False,True,2016-17,WAT
79,3,1,18,2.0,0.0,2.0,False,1,3,False,True,2016-17,ARS
80,4,1,13,3.0,1.0,2.0,True,2,1,False,True,2016-17,ARS
1167,4,13,1,2.0,-1.0,3.0,False,2,1,False,True,2016-17,SOU
81,5,1,7,3.0,0.0,3.0,False,1,4,False,True,2016-17,ARS
218,5,7,1,3.0,0.0,3.0,True,1,4,False,True,2016-17,HUL
82,6,1,4,4.0,0.0,4.0,True,3,0,True,True,2016-17,ARS
181,6,4,1,4.0,0.0,4.0,False,3,0,False,False,2016-17,CHE
83,7,1,3,4.0,2.0,2.0,False,0,1,True,True,2016-17,ARS
839,7,3,1,2.0,-2.0,4.0,True,0,1,False,False,2016-17,BUR
84,8,1,16,4.0,2.0,2.0,True,3,2,False,True,2016-17,ARS
1409,8,16,1,2.0,-2.0,4.0,False,3,2,False,True,2016-17,SWA
85,9,1,12,5.0,3.0,2.0,True,0,0,True,False,2016-17,ARS
260,9,12,1,2.0,-3.0,5.0,False,0,0,True,False,2016-17,MID
86,10,1,15,5.0,3.0,2.0,False,1,4,False,True,2016-17,ARS
413,10,15,1,2.0,-3.0,5.0,True,1,4,False,True,2016-17,SUD
87,11,1,17,5.0,1.0,4.0,True,1,1,False,True,2016-17,ARS
1301,11,17,1,4.0,-1.0,5.0,False,1,1,False,True,2016-17,TOT
88,12,1,11,4.0,0.0,4.0,False,1,1,False,True,2016-17,ARS
1580,12,11,1,4.0,0.0,4.0,True,1,1,False,True,2016-17,MUN
89,13,1,2,4.0,1.0,3.0,True,3,1,False,True,2016-17,ARS
302,13,2,1,3.0,-1.0,4.0,False,3,1,False,True,2016-17,BOU
91,15,1,14,5.0,2.0,3.0,True,3,1,False,True,2016-17,ARS
3354,15,14,1,3.0,-2.0,5.0,False,3,1,False,True,2016-17,STO
93,17,1,10,5.0,1.0,4.0,False,2,1,False,True,2016-17,ARS
990,17,10,1,4.0,-1.0,5.0,True,2,1,False,True,2016-17,MCI
94,18,1,19,4.0,1.0,3.0,True,1,0,True,True,2016-17,ARS
1246,18,19,1,3.0,-1.0,4.0,False,1,0,False,False,2016-17,WBA
118,19,5,1,2.0,-2.0,4.0,False,2,0,False,False,2016-17,CRY
95,19,1,5,4.0,2.0,2.0,True,2,0,True,True,2016-17,ARS
96,20,1,2,4.0,1.0,3.0,False,3,3,False,True,2016-17,ARS
309,20,2,1,3.0,-1.0,4.0,True,3,3,False,True,2016-17,BOU
97,21,1,16,4.0,2.0,2.0,False,0,4,True,True,2016-17,ARS
1422,21,16,1,2.0,-2.0,4.0,True,0,4,False,False,2016-17,SWA
98,22,1,3,4.0,1.0,3.0,True,2,1,False,True,2016-17,ARS
854,22,3,1,3.0,-1.0,4.0,False,2,1,False,True,2016-17,BUR
160,23,18,1,2.0,-3.0,5.0,False,1,2,False,True,2016-17,WAT
99,23,1,18,5.0,3.0,2.0,True,1,2,False,True,2016-17,ARS
100,24,1,4,5.0,0.0,5.0,False,3,1,False,True,2016-17,ARS
199,24,4,1,5.0,0.0,5.0,True,3,1,False,True,2016-17,CHE
238,25,7,1,2.0,-2.0,4.0,False,2,0,False,False,2016-17,HUL
101,25,1,7,4.0,2.0,2.0,True,2,0,True,True,2016-17,ARS
102,27,1,9,4.0,0.0,4.0,False,3,1,False,True,2016-17,ARS
392,27,9,1,4.0,0.0,4.0,True,3,1,False,True,2016-17,LIV
103,29,1,19,4.0,1.0,3.0,False,3,1,False,True,2016-17,ARS
1257,29,19,1,3.0,-1.0,4.0,True,3,1,False,True,2016-17,WBA
104,30,1,10,4.0,0.0,4.0,True,2,2,False,True,2016-17,ARS
1002,30,10,1,4.0,0.0,4.0,False,2,2,False,True,2016-17,MCI
130,32,5,1,2.0,-2.0,4.0,True,3,0,True,True,2016-17,CRY
106,32,1,5,4.0,2.0,2.0,False,3,0,False,False,2016-17,ARS
107,33,1,12,4.0,2.0,2.0,False,1,2,False,True,2016-17,ARS
283,33,12,1,2.0,-2.0,4.0,True,1,2,False,True,2016-17,MID
108,34,1,8,4.0,1.0,3.0,True,1,0,True,True,2016-17,ARS
828,34,8,1,3.0,-1.0,4.0,False,1,0,False,False,2016-17,LEI
109,35,1,17,3.0,-2.0,5.0,False,2,0,False,False,2016-17,ARS
1324,35,17,1,5.0,2.0,3.0,True,2,0,True,True,2016-17,TOT
110,36,1,11,4.0,0.0,4.0,True,2,0,True,True,2016-17,ARS
1603,36,11,1,4.0,0.0,4.0,False,2,0,False,False,2016-17,MUN
111,36,1,13,4.0,1.0,3.0,False,0,2,True,True,2016-17,ARS
1198,36,13,1,3.0,-1.0,4.0,True,0,2,False,False,2016-17,SOU
112,37,1,14,3.0,1.0,2.0,False,1,4,False,True,2016-17,ARS
3376,37,14,1,2.0,-1.0,3.0,True,1,4,False,True,2016-17,STO
440,37,15,1,2.0,-1.0,3.0,False,2,0,False,False,2016-17,SUD
113,37,1,15,3.0,1.0,2.0,True,2,0,True,True,2016-17,ARS
115,16,5,11,2.0,-2.0,4.0,True,1,2,False,True,2016-17,CRY
1584,16,11,5,4.0,2.0,2.0,False,1,2,False,True,2016-17,MUN
116,17,5,4,2.0,-3.0,5.0,True,0,1,False,False,2016-17,CRY
192,17,4,5,5.0,3.0,2.0,False,0,1,True,True,2016-17,CHE
117,18,5,18,2.0,-1.0,3.0,False,1,1,False,True,2016-17,CRY
155,18,18,5,3.0,1.0,2.0,True,1,1,False,True,2016-17,WAT
119,20,5,16,2.0,0.0,2.0,True,1,2,False,True,2016-17,CRY
1421,20,16,5,2.0,0.0,2.0,False,1,2,False,True,2016-17,SWA
122,23,5,2,2.0,-1.0,3.0,False,0,2,True,True,2016-17,CRY
312,23,2,5,3.0,1.0,2.0,True,0,2,False,False,2016-17,BOU
123,24,5,15,2.0,0.0,2.0,True,0,4,False,False,2016-17,CRY
427,24,15,5,2.0,0.0,2.0,False,0,4,True,True,2016-17,SUD
124,25,5,14,2.0,-1.0,3.0,False,1,0,False,False,2016-17,CRY
3364,25,14,5,3.0,1.0,2.0,True,1,0,True,True,2016-17,STO
125,26,5,12,2.0,0.0,2.0,True,1,0,True,True,2016-17,CRY
277,26,12,5,2.0,0.0,2.0,False,1,0,False,False,2016-17,MID
126,27,5,19,2.0,-2.0,4.0,False,0,2,True,True,2016-17,CRY
1255,27,19,5,4.0,2.0,2.0,True,0,2,False,False,2016-17,WBA
127,29,5,18,2.0,0.0,2.0,True,1,0,True,True,2016-17,CRY
165,29,18,5,2.0,0.0,2.0,False,1,0,False,False,2016-17,WAT
128,30,5,4,2.0,-3.0,5.0,False,1,2,False,True,2016-17,CRY
204,30,4,5,5.0,3.0,2.0,True,1,2,False,True,2016-17,CHE
129,31,5,13,2.0,-1.0,3.0,False,3,1,False,True,2016-17,CRY
1192,31,13,5,3.0,1.0,2.0,True,3,1,False,True,2016-17,SOU
131,33,5,8,2.0,-1.0,3.0,True,2,2,False,True,2016-17,CRY
827,33,8,5,3.0,1.0,2.0,False,2,2,False,True,2016-17,LEI
132,34,5,9,2.0,-2.0,4.0,False,1,2,False,True,2016-17,CRY
399,34,9,5,4.0,2.0,2.0,True,1,2,False,True,2016-17,LIV
133,34,5,17,2.0,-3.0,5.0,True,0,1,False,False,2016-17,CRY
1323,34,17,5,5.0,3.0,2.0,False,0,1,True,True,2016-17,TOT
134,35,5,3,2.0,0.0,2.0,True,0,2,False,False,2016-17,CRY
867,35,3,5,2.0,0.0,2.0,False,0,2,True,True,2016-17,BUR
135,36,5,10,2.0,-2.0,4.0,False,5,0,False,False,2016-17,CRY
1008,36,10,5,4.0,2.0,2.0,True,5,0,True,True,2016-17,MCI
136,37,5,7,2.0,0.0,2.0,True,4,0,True,True,2016-17,CRY
250,37,7,5,2.0,0.0,2.0,False,4,0,False,False,2016-17,HUL
137,38,5,11,2.0,-1.0,3.0,False,2,0,False,False,2016-17,CRY
1606,38,11,5,3.0,1.0,2.0,True,2,0,True,True,2016-17,MUN
138,1,18,13,,,,False,1,1,False,True,2016-17,WAT
1164,1,13,18,,,,True,1,1,False,True,2016-17,SOU
177,2,4,18,4.0,1.0,3.0,False,1,2,False,True,2016-17,CHE
139,2,18,4,3.0,-1.0,4.0,True,1,2,False,True,2016-17,WAT
142,5,18,11,2.0,-2.0,4.0,True,3,1,False,True,2016-17,WAT
1573,5,11,18,4.0,2.0,2.0,False,3,1,False,True,2016-17,MUN
143,6,18,3,3.0,1.0,2.0,False,2,0,False,False,2016-17,WAT
838,6,3,18,2.0,-1.0,3.0,True,2,0,True,True,2016-17,BUR
144,7,18,2,2.0,0.0,2.0,True,2,2,False,True,2016-17,WAT
296,7,2,18,2.0,0.0,2.0,False,2,2,False,True,2016-17,BOU
145,8,18,12,2.0,0.0,2.0,False,0,1,True,True,2016-17,WAT
259,8,12,18,2.0,0.0,2.0,True,0,1,False,False,2016-17,MID
